
Devices
1500
,,Myon - Voltage,,,,,,,,,,,,,,,,Contrex - Angle,Contrex - Angular Velocity,Contrex - Force,
Frame,Sub Frame,LTibA1,LPer2,LSol3,LGas4,LRec5,LVas6,LHam7,LGlut8,RTibA9,RPer10,RSol11,RGas12,RRec13,RVas14,RHam15,RGlut16,Angle,Angular velocity,Torque
,,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,deg,deg/s,N
2,5,1.37329e-06,-8.69751e-06,-2.44141e-05,5.0354e-06,1.20544e-05,-2.09045e-05,0.000103149,4.04358e-05,8.01086e-05,8.02612e-05,5.49316e-06,3.89099e-05,0.00022995,7.47681e-06,8.57544e-05,-0.000448914,30.7363,0.0750032,15.2987
2,6,1.06812e-06,-8.69751e-06,-2.76184e-05,1.66321e-05,7.62939e-06,1.19019e-05,9.23157e-05,1.41907e-05,-1.61743e-05,8.19397e-05,6.10352e-06,-3.12805e-05,0.000164642,8.8501e-06,7.24792e-05,-0.000440063,30.7294,0.0854916,15.2866
2,7,-5.64575e-06,-8.23975e-06,-4.60815e-05,2.15149e-05,7.93457e-06,8.17871e-05,0.000112305,2.34985e-05,-5.15747e-05,3.79944e-05,6.10352e-06,-9.06372e-05,-8.11768e-05,8.8501e-06,8.39233e-05,-0.000436249,30.7228,0.0951915,15.274
2,8,3.96729e-06,-7.78198e-06,-1.46484e-05,3.2959e-05,7.32422e-06,1.69373e-05,0.000156097,5.46265e-05,-3.75366e-05,-2.65503e-05,5.34058e-06,-0.000145874,-0.000193329,1.09863e-05,2.7771e-05,-0.000433197,30.7163,0.104126,15.2611
2,9,6.10352e-07,-7.32422e-06,5.52368e-05,3.479e-05,7.17163e-06,4.24194e-05,0.00014679,0.000141754,-4.5929e-05,4.30298e-05,5.79834e-06,-0.000149994,-8.27026e-05,8.8501e-06,-3.61633e-05,-0.000425262,30.7101,0.112319,15.2481
2,10,3.20435e-06,-8.54492e-06,5.47791e-05,5.53894e-05,1.09863e-05,-4.48608e-05,0.000127563,4.74548e-05,2.88391e-05,5.44739e-05,6.86645e-06,-0.000139771,2.56348e-05,6.71387e-06,-7.17163e-06,-0.000419006,30.704,0.119801,15.2348
2,11,5.79834e-06,-4.88281e-06,2.68555e-05,4.36401e-05,7.62939e-06,-7.09534e-05,0.000130157,6.79016e-05,-3.02124e-05,6.37817e-05,6.40869e-06,3.40271e-05,0.000165863,1.02234e-05,4.80652e-05,-0.000411987,30.6982,0.126598,15.2215
2,12,1.83105e-06,-6.86645e-06,3.95203e-05,-2.05994e-05,8.54492e-06,-9.39941e-05,3.78418e-05,0.000105133,-6.79016e-05,3.46375e-05,1.0376e-05,5.26428e-05,0.000114288,8.8501e-06,0.000104828,-0.000404968,30.6926,0.132738,15.2083
2,13,5.95093e-06,-5.34058e-06,8.43811e-05,-0.000205994,7.17163e-06,-9.96399e-05,-7.62939e-06,0.000144958,-6.79016e-05,9.59778e-05,5.79834e-06,-1.7395e-05,-8.92639e-05,4.73022e-06,0.000116425,-0.000401917,30.6872,0.138248,15.1951
2,14,8.08716e-06,0.000207214,7.06482e-05,-9.26209e-05,8.8501e-06,-6.34766e-05,3.58582e-05,0.000184174,-8.46863e-05,8.28552e-05,9.15527e-06,-1.20544e-05,-0.000119781,1.0376e-05,0.000261993,-0.000395203,30.682,0.143151,15.1822
